Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LoginTestSuite_DefaultProfile,Chrome 125.0.0.0,,,25-05-2024 12:00:09,25-05-2024 12:00:16,7.614s,PASSED
,,,,,,,
Test Cases/Login,Chrome 125.0.0.0,,,25-05-2024 12:00:09,25-05-2024 12:00:16,7.411s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,25-05-2024 12:00:09,25-05-2024 12:00:11,1.682s,PASSED
navigateToUrl(BaseURL),Chrome 125.0.0.0,,,25-05-2024 12:00:11,25-05-2024 12:00:13,2.147s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LoginTestcase/Page_JPetStore Demo/a_Enter the Store""), 0)",Chrome 125.0.0.0,,,25-05-2024 12:00:13,25-05-2024 12:00:13,0.392s,PASSED
"verifyElementText(findTestObject(""Object Repository/LoginTestcase/Page_JPetStore Demo/sub_Copyright www.mybatis.org""), ""Copyright www.mybatis.org"")",Chrome 125.0.0.0,,,25-05-2024 12:00:13,25-05-2024 12:00:14,0.353s,PASSED
"verifyElementText(findTestObject(""Object Repository/LoginTestcase/Page_JPetStore Demo/h2_Welcome to JPetStore 6""), ""Welcome to JPetStore 6"")",Chrome 125.0.0.0,,,25-05-2024 12:00:14,25-05-2024 12:00:14,0.350s,PASSED
"click(findTestObject(""Object Repository/LoginTestcase/Page_JPetStore Demo/a_Enter the Store""))",Chrome 125.0.0.0,,,25-05-2024 12:00:14,25-05-2024 12:00:16,1.720s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/LoginTestcase/Page_JPetStore Demo/a_Sign In""), 0)",Chrome 125.0.0.0,,,25-05-2024 12:00:16,25-05-2024 12:00:16,0.313s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,25-05-2024 12:00:16,25-05-2024 12:00:16,0.190s,PASSED
